Data Table for Daily Case Trends - Arkansas
Date generated: Tue Nov 16 2021 20:14:12 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Arkansas,Jul  4 2021,414,501,1782
Arkansas,Jul  3 2021,414,488,1838
Arkansas,Jul  2 2021,494,475,1870
Arkansas,Jul  1 2021,700,447,1957
Arkansas,Jun 30 2021,686,402,1991
Arkansas,Jun 29 2021,479,359,2064
Arkansas,Jun 28 2021,324,360,2123
Arkansas,Jun 27 2021,321,327,2082
Arkansas,Jun 26 2021,321,313,2090
Arkansas,Jun 25 2021,302,298,2122
Arkansas,Jun 24 2021,383,286,2192
Arkansas,Jun 23 2021,389,273,2386
Arkansas,Jun 22 2021,485,258,2496
Arkansas,Jun 21 2021,90,232,2577
Arkansas,Jun 20 2021,222,234,2760
Arkansas,Jun 19 2021,219,215,2793
Arkansas,Jun 18 2021,219,222,2893
Arkansas,Jun 17 2021,288,247,2967
Arkansas,Jun 16 2021,288,247,2987
Arkansas,Jun 15 2021,302,234,2973
Arkansas,Jun 14 2021,103,224,3102
Arkansas,Jun 13 2021,91,218,3168
Arkansas,Jun 12 2021,264,218,3191
Arkansas,Jun 11 2021,393,209,3186
Arkansas,Jun 10 2021,289,189,3382
Arkansas,Jun  9 2021,201,176,3403
Arkansas,Jun  8 2021,231,182,3425
Arkansas,Jun  7 2021,62,159,3346
Arkansas,Jun  6 2021,88,154,2915
Arkansas,Jun  5 2021,203,150,2834
Arkansas,Jun  4 2021,253,144,2705
Arkansas,Jun  3 2021,197,139,2459
Arkansas,Jun  2 2021,242,142,2461
Arkansas,Jun  1 2021,69,133,2501
Arkansas,May 31 2021,30,170,2510
Arkansas,May 30 2021,61,173,2996
Arkansas,May 29 2021,160,178,3022
Arkansas,May 28 2021,214,181,3156
Arkansas,May 27 2021,218,179,3459
Arkansas,May 26 2021,183,184,3542
Arkansas,May 25 2021,329,193,3682
Arkansas,May 24 2021,49,191,3879
Arkansas,May 23 2021,97,193,3949
Arkansas,May 22 2021,177,193,4000
Arkansas,May 21 2021,201,196,4015
Arkansas,May 20 2021,256,203,4163
Arkansas,May 19 2021,244,194,4459
Arkansas,May 18 2021,313,191,4628
Arkansas,May 17 2021,67,180,4852
Arkansas,May 16 2021,95,181,5081
Arkansas,May 15 2021,202,181,5066
Arkansas,May 14 2021,250,187,5184
Arkansas,May 13 2021,192,183,5443
Arkansas,May 12 2021,224,183,5789
Arkansas,May 11 2021,233,193,6189
Arkansas,May 10 2021,76,202,6507
Arkansas,May  9 2021,95,200,6785
Arkansas,May  8 2021,245,206,6804
Arkansas,May  7 2021,222,206,6940
Arkansas,May  6 2021,188,202,7375
Arkansas,May  5 2021,298,210,7733
Arkansas,May  4 2021,296,209,8243
